SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_50_0,1225,1338372,696,120843,224,217926,222,428500,287,786783,
seq_50_1,1225,330668,737,161028,226,224038,230,115729,295,114648,
seq_50_2,1225,246592,647,118874,223,195353,267,55487,270,88091,
seq_50_3,1225,195137,639,78733,222,142973,246,62482,228,76361,
seq_50_4,1225,210131,812,100856,212,130622,251,49911,234,72882,
seq_50_5,1225,199375,666,83187,223,112735,243,57999,263,64176,
seq_50_6,1225,199812,742,136430,230,116923,247,74459,249,122996,
seq_50_7,1225,201172,669,84121,215,40632,300,71946,253,122630,
seq_50_8,1225,210559,760,94171,220,39609,242,63211,297,74878,
seq_50_9,1225,191639,615,75871,230,40490,234,82356,261,112835,
seq_50_10,1225,194748,693,86997,225,41376,261,47133,248,52485,
seq_50_11,1225,238772,705,87699,221,43170,262,76874,223,72654,
seq_50_12,1225,195129,641,78929,224,39740,243,77226,285,71906,
seq_50_13,1225,208241,739,90966,220,40097,260,69657,234,185665,
seq_50_14,1225,180801,653,71887,224,38306,287,13597,253,12661,
seq_50_15,1225,195815,670,72055,224,33070,236,10158,232,10738,
seq_50_16,1225,262011,757,124081,217,51835,274,19791,269,20795,
seq_50_17,1225,192986,780,84600,223,32995,242,8909,279,15224,
seq_50_18,1225,179656,642,69432,221,33049,241,9857,242,11283,
seq_50_19,1225,210908,767,93735,214,38299,235,11105,321,20133,
seq_50_20,1225,181131,640,126979,224,77962,236,13235,266,14698,
seq_50_21,1225,186161,653,74773,221,35515,228,9561,257,12219,
seq_50_22,1225,186220,692,75751,220,47419,351,11854,277,13355,
seq_50_23,1225,181147,654,70971,216,58231,273,17910,265,12842,
seq_50_24,1225,191424,642,78150,221,37636,228,10688,236,12444,
seq_50_25,1225,206531,731,89996,225,38681,249,10358,266,14897,
seq_50_26,1225,184103,600,74401,222,36350,307,11783,233,16487,
seq_50_27,1225,193019,685,83043,218,36296,365,12969,211,12069,
seq_50_28,1225,279083,651,125011,225,65588,294,23205,258,26247,
seq_50_29,1225,293733,651,128022,224,62584,237,12518,301,16456,
seq_50_30,1225,188249,625,77042,225,40295,236,14827,250,14138,
seq_50_31,1225,197537,714,87800,222,36755,257,10636,228,26564,
seq_50_32,1225,194220,603,75622,219,40413,309,13077,265,13897,
seq_50_33,1225,205631,719,87387,221,39777,236,10619,261,17772,
seq_50_34,1225,208078,559,96004,219,42990,249,12128,257,13667,
seq_50_35,1225,207372,668,82739,226,40320,221,10424,225,12626,
seq_50_36,1225,200802,734,91327,227,39258,233,11520,233,12737,
seq_50_37,1225,206420,790,97399,221,37114,283,26567,272,16040,
seq_50_38,1225,193568,691,85068,225,36895,256,12999,245,13723,
seq_50_39,1225,185187,619,76262,221,36195,258,13174,227,11994,
seq_50_40,1225,254592,558,73942,218,79809,249,28609,221,43676,
seq_50_41,1225,209801,630,78951,223,99775,227,17263,249,25514,
seq_50_42,1225,302795,705,134569,218,66845,314,21029,308,23742,
seq_50_43,1225,301801,724,138052,221,66548,242,21073,237,24688,
seq_50_44,1225,269189,556,106551,228,84566,253,24950,226,23089,
seq_50_45,1225,306491,714,130701,224,64382,311,21879,253,34924,
seq_50_46,1225,282706,596,116537,217,64938,256,22932,237,23939,
seq_50_47,1225,317777,711,122524,222,70044,252,19773,290,29683,
seq_50_48,1225,335635,715,147751,213,68328,238,20350,305,29735,
seq_50_49,1225,98799,668,86130,220,38772,226,10852,288,13964,
seq_50_50,1225,53101,635,78195,219,38084,384,16864,232,13551,
seq_50_51,1225,51486,593,111657,215,62698,237,25935,288,27239,
seq_50_52,1225,78084,687,131094,225,68841,261,20576,266,30366,
seq_50_53,1225,79937,661,283249,225,73741,240,27338,266,503567,
seq_50_54,1225,87649,631,124024,218,97921,232,21494,245,27347,
seq_50_55,1225,84941,656,131205,221,65287,277,24766,240,25945,
seq_50_56,1225,83942,644,128013,226,65030,223,24631,258,25832,
seq_50_57,1225,66743,579,80558,208,46058,270,13591,249,13573,
seq_50_58,1225,50957,580,72683,230,39696,241,15140,242,13776,
seq_50_59,1225,65059,651,127399,223,68293,244,17720,226,25678,
seq_50_60,1225,81552,618,116616,226,193412,292,22990,275,25691,
seq_50_61,1225,87712,704,139590,227,66211,215,20232,290,25644,
seq_50_62,1225,69288,656,126174,222,62807,247,20837,279,25659,
seq_50_63,1225,82787,620,117540,224,64265,240,24226,239,25011,
seq_50_64,1225,79026,658,122573,216,64996,249,51825,244,25638,
seq_50_65,1225,90287,686,132780,219,72145,226,20235,287,28025,
seq_50_66,1225,81717,643,597348,221,76549,282,24939,276,59433,
seq_50_67,1225,84990,676,135964,218,66610,255,22810,273,28677,
seq_50_68,1225,69358,535,106092,221,63476,310,28828,222,21764,
seq_50_69,1225,66071,527,100543,226,91516,260,23256,251,25214,
seq_50_70,1225,82538,625,118138,219,68992,224,23012,238,24445,
seq_50_71,1225,83484,691,128841,220,65995,226,20149,240,30087,
seq_50_72,1225,84002,719,144591,215,60633,220,19131,235,22907,
seq_50_73,1225,82092,682,125148,226,61675,229,18938,306,34117,
seq_50_74,1225,89396,757,140835,227,65422,218,19766,333,29818,
seq_50_75,1225,68276,621,116205,213,69538,247,25381,259,162869,
seq_50_76,1225,100555,721,163451,228,62001,233,21403,241,25725,
seq_50_77,1225,102617,596,113373,225,70104,250,27626,245,25959,
seq_50_78,1225,68198,669,85964,214,39907,253,11208,243,18990,
seq_50_79,1225,56529,817,101584,223,41218,277,11807,311,15363,
seq_50_80,1225,62581,545,91600,223,38804,299,13208,236,13438,
seq_50_81,1225,78549,657,117240,223,90663,326,25581,278,28153,
seq_50_82,1225,81382,674,126451,222,63642,252,24932,249,25032,
seq_50_83,1225,88080,691,125997,220,96747,270,33004,277,21016,
seq_50_84,1225,133805,704,434826,225,68441,291,20360,243,25273,
seq_50_85,1225,90999,607,287502,222,71661,263,6790,243,27634,
seq_50_86,1225,77885,568,108036,220,57988,250,7149,254,29268,
seq_50_87,1225,83899,695,137251,224,36280,225,7196,218,29351,
seq_50_88,1225,81405,756,137866,222,35949,333,7465,257,29129,
seq_50_89,1225,82263,622,121065,221,39642,248,6971,280,34044,
seq_50_90,1225,77782,598,1084877,226,41062,258,7447,237,30915,
seq_50_91,1225,101261,687,146465,213,52078,246,7440,235,30070,
seq_50_92,1225,82172,600,173278,215,40805,267,8276,249,33289,
seq_50_93,1225,74128,721,93554,221,45129,291,7730,244,31854,
seq_50_94,1225,71134,617,25996,221,34572,235,7748,257,33763,
