0;BubbleSortNComp;BubbleSortTns;InsertionSortNComp;InsertionSortTns;MergeSortNComp;MergeSortTns;AVLTreeSortNComp;AVLTreeSortTns;Media Aritmetica BubbleSortNComp;Media Aritmetica BubbleSortTns;Media Aritmetica InsertionSortNComp;Media Aritmetica InsertionSortTns;Media Aritmetica MergeSortNComp;Media Aritmetica MergeSortTns;Media Aritmetica AVLTreeSortNComp;Media Aritmetica AVLTreeSortTns;Minimo BubbleSortNComp;Minimo BubbleSortTns;Minimo InsertionSortNComp;Minimo InsertionSortTns;Minimo MergeSortNComp;Colonna13;Colonna14;Colonna15;Colonna16;Colonna17;Colonna18;Colonna19;Colonna20;Colonna21
seq_50_0;1225;1056400;640;260101;224;294100;218;3334499;1225;226488,95;651,17;144779,17;222,22;45492,98;220,96;112290,98;1225;39400;465;14800;210;12800;208;27600;;;;;;
seq_50_1;1225;331300;664;138600;222;220000;221;539600;4950;48879,07;2604,16;45992,01;541,83;38406,95;541,81;58637,97;4950;26300;2205;6500;528;31000;516;38700;;;;;;
seq_50_2;1225;347400;696;154501;225;180300;214;428800;11175;73656,99;5748,03;19286,98;899,17;67343;895,36;86229,89;11175;49801;4795;12199;882;43400;859;51700;;;;;;
seq_50_3;1225;335500;690;158501;216;195600;230;173900;19900;166653,02;10219,28;41199,02;1281,21;114782,92;1276,64;187089;19900;109700;8935;27600;1259;81301;1237;105901;;;;;;
seq_50_4;1225;342300;728;152201;225;181901;222;178399;31125;230293,05;15826,28;53322,03;1677,63;108743;1673,07;141360,01;31125;139600;14260;32000;1650;69100;1611;88299;;;;;;
seq_50_5;1225;355700;603;139300;225;132800;228;229500;44850;320696,99;22613,66;68875,09;2096,23;103454,02;2087,61;144191,97;44850;210300;20611;44300;2071;67699;2011;87101;;;;;;
seq_50_6;1225;358899;739;149800;226;44299;226;182900;61075;350540,96;30804,69;75687,13;2526,13;104562,14;2516,21;164562,02;61075;248600;28274;56501;2481;75999;2410;95600;;;;;;
seq_50_7;1225;370600;684;152700;219;61800;219;232299;79800;499218,09;40040,28;102536,94;2961,26;122897,89;2923,57;170105,91;79800;349500;36735;71900;2936;89600;2834;115700;;;;;;
seq_50_8;1225;380600;608;151200;224;45500;221;202800;101025;678365,03;50855,81;142659,94;3406,17;186504,99;3386,36;215808;101025;477899;45992;91900;3374;100500;3252;128999;;;;;;
seq_50_9;1225;389300;636;156000;219;44900;221;232101;124750;739408,98;62649,43;151423,03;3854,37;176587,98;3823,65;205423,96;124750;589600;57902;114500;3825;111701;3655;146199;;;;;;
